,address
0,"303a,anchorvale Link,#01-82,anchorvale Court,541303"
1,"281b, Sengkang East Avenue , #01 - 605, Singapore 542281"
2,"302b, Anchorvale Link, #01 - 176, Singapore 542302"
3,"270, Sengkang Central, #01 - 01, Multi Storey Car Park, Singapore 540270"
4,201A Compassvale Drive #01-515 (S)541201
5,"217, Compassvale Drive, #01 - 11, Multi Storey Car Park, Singapore 540217"
6,"319c, Anchorvale Drive, #01 - 66, Singapore 543319"
7,"203d, Compassvale Road, #01 - 59, Singapore 544203"
8,"314a, Anchorvale Link, #01 - 147, Singapore 541314"
9,"269, Compassvale Link , #01 - 127, Singapore 540269"
10,"308c, Anchorvale Road, #01 - 26, Singapore 543308"
11,"206a,compassvale Lane,#01-67,541206"
12,"277b,compassvale Link,#01-264,542277"
13,275A Compassvale Link #01-248 (S)541275
14,275A Compassvale Link #01-248
15,"31,anchorvale Drive,anchor Green Primary School,544969"
16,"205a, Compassvale Lane, #01 - 39, Singapore 541205"
17,"205A Compassvale Lane #01-39, Singapore 541205"
18,936 Jurong West Street 91 #01-361 (S)640936
19,"325B Sengkang East Way, #01-655, Singapore 542325"
20,"208, Compassvale Lane, #01 - 122, Multi Storey Car Park, Singapore 540208"
21,"31,anchorvale Road,545056"
22,"266, Compassvale Bow, #01 - 04, Multi Storey Car Park, Singapore 540266"
23,"565, Hougang Street 51, #01 - 480, Singapore 530565"
24,"351,anchorvale Road,#01-07,multi Storey Car Park,540351"
25,"19, Compassvale Walk, #03 - 00, Fu Hui Link, Singapore 544644"
26,"238, Compassvale Walk, #01 - 542, Singapore 540238"
27,"552,hougang Street 51,#b1-296,530552"
28,"278b,compassvale Bow,#01-561,compassvale Helm,542278"
29,"332b, Anchorvale Link, #01 - 372, Singapore 542332"
30,"71,anchorvale Link,springdale Primary School,544799"
31,"212a, Compassvale Drive, #02 - 125, Singapore 541212"
32,"260D Sengkang East Way #01-468, Singapore 544260"
33,260D Sengkang East Way #01-468 
34,"210, Compassvale Lane, #01 - 01, Multi Storey Car Park, Singapore 540210"
35,"248, Compassvale Road, #01 - 618, Singapore 540248"
36,"101, Rivervale Walk, #01 - 40, Singapore 540101"
37,"259b, Compassvale Road, #01 - 621, Singapore 542259"
38,"539 HOUGANG STREET 52, #01-54, SINGAPORE 530539"
39,"262a, Compassvale Street, #01 - 117, Singapore 541262"
40,"1 Anchorvale Street, #04-21 Lift Lobby C, S544835"
41,"327B, Anchorvale Road, #01 - 322, Singapore 542327"
42,"452, Hougang Avenue 10, #01 - 575, SINGAPORE 530452"
43,"2 Jalan Merdu, Singapore 548651"
44,"363, Lorong Buang Kok, Singapore 547686"
45,"231, Compassvale Walk, #01 - 436, Singapore 540231"
46,"231,compassvale Walk,#01-436,540231"
47,"230, Compassvale Walk, #01 - 416, Singapore 540230"
48,"535,hougang Street 52,#01-18,530535"
49,"293B Compassvale Crescent, #01-53, Compassvale Boardwalk, Singapore 542293"
50,"434, Hougang Ave 8, #01 - 904, Singapore 530434"
51,"434, Hougang Avenue 8, #01 - 904, Singapore 530434"
52,"113, Rivervale Walk, #01 - 33, Singapore 540113"
53,"290a, Compassvale Crescent, #01 - 06, Singapore 541290"
54,"103,rivervale Walk,#01-86,540103"
55,"415 Punggol Road, Singapore 546646"
56,"415,punggol Road,beauty Garden,546646"
57,"431, Punggol Road, Beauty Garden, Singapore 546654"
58,"57, Anchorvale Road, #01 - 04, Sengkang Sports And Recreation Centre , Singapore 544964"
59,"48 Jalan Merdu, Singapore 548675"
60,"695, Hougang St 61, #01 - 72, Singapore 530695"
61,"46, Jalan Merdu, Singapore 548674"
62,"449, Punggol Road, Singapore 546663"
63,"292b,compassvale Street,#01-206,542292"
64,"420, Punggol Road, Singapore 546674"
65,420 Punggol Road Singapore 546674
66,"66,sengkang East Way,548593"
67,"123a, Rivervale Drive, #01 - 133, Singapore 541123"
68,"336B, ANCHORVALE CRESCENT, #01 - 38, SINGAPORE 542336"
69,101 Canberra St
70,"116a, Rivervale Drive, #01 - 08, Singapore 541116"
71,"252, Compassvale Street, #01 - 01, Singapore 540252"
72,"338,anchorvale Crescent,#01-12,multi Storey Car Park,540338"
73,"330A, Anchorvale Street, #01 - 519, SINGAPORE 541330"
74,"528, Hougang Avenue 6, #01 - 237, Singapore 530528"
75,"194, Rivervale Drive, #01 - 771, Singapore 540194"
76,"986C Buangkok Crescent , #01 - 88, Singapore 533986"
77,"131 Rivervale Street, #01 - 868, Singapore 540131"
78,"915,hougang Street 91,#01-10,530915"
79,"416a,fernvale Link,#01-106,791416"
80,"992B Buangkok Link, #01-181, Buangkok Square"
81,"1 St. Anne's Wood, Singapore 545271"
82,"2, St Anne's Wood, Singapore 545270"
83,"999,buangkok Crescent,#02-01,530999"
84,"997,buangkok Crescent,#01-01,multi Storey Car Park,530997"
85,"195, Rivervale Drive, #01 - 743, Singapore 540195"
86,"414,hougang Avenue 10,#01-1256,530414"
87,"60, Sengkang East Way, Singapore 548596"
88,"470c, Upper Serangoon Crescent, #01 - 352, Singapore 533470"
89,"74 St. Anne's Wood, Singapore 545215"
90,"298b, Compassvale Street, #01 - 164, Singapore 542298"
91,"51, Fernvale Link, SINGAPORE 797536"
92,"51 Fernvale Link, Singapore 797536"
93,"50, Sengkang East Way, Singapore 548601"
94,"979C Buangkok Crescent, #01 - 105, Singapore 533979"
95,"406, Hougang Avenue 10, #01 - 1124, Singapore 530406"
96,"406, Hougang Avenue 10, #01 - 1124, Singapore 530406"
97,"295a, Compassvale Crescent, #01 - 203, Singapore 541295"
98,"970,hougang Street 91,#01-152,530970"
99,"98,98 Hougang Avenue 8,538791"
100,"924 Hougang Avenue 9, #01-60, Singapore 530924"
101,"472C, Fernvale Street, #01 - 63, SINGAPORE 793472"
102,"122D Rivervale Drive, #01-452, Singapore 544122"
103,"409a, Fernvale Road, #01 - 46, Coral Vale, Singapore 791409"
104,"122a, Sengkang East Way, #01 - 49, Singapore 541122"
105,"No 90 Hougang Avenue 10, #05-08, Hougang Mall, Singapore 538766"
106,"143,rivervale Drive,#01-557,540143"
107,"430c, Fernvale Link, #01 - 243, Singapore 793430"
108,"475c, Upper Serangoon Crescent, #01 - 547, Singapore 533475"
109,"475C, Upper Serangoon Crescent, #01 - 547, SINGAPORE 533475"
110,"475c,upper Serangoon Crescent,#01-547,533475"
111,"439, Sengkang West Avenue, #01 - 01, Singapore 790439"
112,"926, Hougang Street 91, #01 - 83, Singapore 530926"
113,"667, Hougang Ave 4, #01 - 339, Singapore 530667"
114,"987B, Buangkok Green, #01 - 33, SINGAPORE 532987"
115,"987C Buangkok Green, #01-57, Singapore 533987"
116,"987c,buangkok Green,#01-33,533987"
117,"145 Rivervale Drive, #01 - 529, Singapore 540145"
118,"470a,fernvale Link,791470"
119,"508 HOUGANG AVENUE 10, #01-93, BEDOK RESERVOIR-PUNGGOL VALE, SINGAPORE 530508"
120,"188c, Rivervale Drive, #01 - 1042, Singapore 543188"
121,"436d,fernvale Road,#01-156,fernvale Grove,794436"
122,"98,punggol Walk,punggol Green Primary School,828772"
123,"476C, UPPER SERANGOON VIEW, #01 - 534, SINGAPORE 533476"
124,"946 Hougang Street 92, #01 - 167, Singapore 530946"
125,"806,hougang Central,#04-144,530806"
126,"209a, Punggol Place, #01 - 1276, Singapore 821209"
127,"469B Sengkang West Way, #01-614, Fernvale Lea, Singapore 792469"
128,"153, Rivervale Crescent, #01 - 122, Singapore 540153"
129,"187b,rivervale Drive,#01-866,542187"
130,Kingsford Waterbay 50 Upper Serangoon View #01-01
131,"9, Jalan Jarak, Seletar Hills Estate, Singapore 809173"
132,"417a,fernvale Link,#01-172,fernvale Riverwalk,791417"
133,"415A, FERNVALE LINK, #01 - 30, SINGAPORE 791415"
134,"211A, Punggol Walk, #01 - 623, Singapore 821211"
135,"2 / 4, Jalan Lye Kwee, Singapore 537822"
136,"950, Hougang St 91, #01 - 316, Singapore 530950"
137,"21,fernvale Road,#01-01,high Park Residences,797637"
138,"954 Hougang Avenue 9, #01 - 536, Singapore 530954"
139,"606, Hougang Avenue 4, #01 - 167, Singapore 530606"
140,"8, St Xavier's Lane, Singapore 535736"
141,8 St. Xavierâ€™s Lane Singapore 535736
142,"105d,edgefield Plains,#01-59,824105"
143,"15,fernvale Road,sengkang Green Primary School,797636"
144,"208b, Punggol Place, #01 - 924, Singapore 822208"
145,"937, HOUGANG STREET 92, #01 - 77, SINGAPORE 530937"
146,"441b, Fernvale Road, #01 - 313, Singapore 792441"
147,"164 Rivervale Crescent, #01 - 03, Rivervale Delta, Singapore 540164"
148,"677, Hougang Avenue 8, #01 - 545, Singapore 530677"
149,"7, Lorong Batawi, Singapore 536668"
150,"119, Edgefield Plains, #05 - 01, SINGAPORE 820119"
151,"119, Edgefield Plains, #05 - 01, Multi Storey Car Park, Singapore 820119"
152,"201D Punggol Field, #01-270, Singapore 824201"
153,"62 Jalan Naung, Miramar Gardens, Singapore 537727"
154,"184c, Rivervale Crescent, #01 - 199, Singapore 540184"
155,"443,fernvale Road,#01-411,fernvale Vista,791443"
156,"1,fernvale Lane,fernvale Primary School,797701"
157,"70 Jalan Naung, Miramar Gardens, Singapore 537731"
158,"28 Jalan Kelulut, Seletar Hills Estate, Singapore 809045"
159,"405b, Fernvale Lane, #01 - 115, Singapore 792405"
