"","x"
"1","333 ANG MO KIO AVE 1"
"2","319 ANG MO KIO AVE 1"
"3","225 ANG MO KIO AVE 1"
"4","442 ANG MO KIO AVE 10"
"5","405 ANG MO KIO AVE 10"
"6","542 ANG MO KIO AVE 10"
"7","444 ANG MO KIO AVE 10"
"8","422 ANG MO KIO AVE 3"
"9","313 ANG MO KIO AVE 3"
"10","585 ANG MO KIO AVE 3"
"11","110 ANG MO KIO AVE 4"
"12","538 ANG MO KIO AVE 5"
"13","181 ANG MO KIO AVE 5"
"14","606 ANG MO KIO AVE 5"
"15","602 ANG MO KIO AVE 5"
"16","637 ANG MO KIO AVE 6"
"17","513 ANG MO KIO AVE 8"
"18","650 ANG MO KIO ST 61"
"19","335 ANG MO KIO AVE 1"
"20","102 ANG MO KIO AVE 3"
"21","131 ANG MO KIO AVE 3"
"22","604 ANG MO KIO AVE 5"
"23","620 ANG MO KIO AVE 9"
"24","350 ANG MO KIO ST 32"
"25","353 ANG MO KIO ST 32"
"26","310A ANG MO KIO AVE 1"
"27","539 ANG MO KIO AVE 10"
"28","101 ANG MO KIO AVE 3"
"29","627 ANG MO KIO AVE 9"
"30","104B ANG MO KIO ST 11"
"31","588C ANG MO KIO ST 52"
"32","219A BEDOK CTRL"
"33","520 BEDOK NTH AVE 1"
"34","549 BEDOK NTH AVE 1"
"35","108 BEDOK NTH RD"
"36","110 BEDOK NTH RD"
"37","218 BEDOK NTH ST 1"
"38","419 BEDOK NTH ST 1"
"39","122 BEDOK NTH ST 2"
"40","537 BEDOK NTH ST 3"
"41","536 BEDOK NTH ST 3"
"42","532 BEDOK NTH ST 3"
"43","501 BEDOK NTH ST 3"
"44","525 BEDOK NTH ST 3"
"45","529 BEDOK NTH ST 3"
"46","526 BEDOK NTH ST 3"
"47","744 BEDOK RESERVOIR RD"
"48","704 BEDOK RESERVOIR RD"
"49","59 CHAI CHEE RD"
"50","50 CHAI CHEE ST"
"51","517 BEDOK NTH AVE 2"
"52","82 BEDOK NTH RD"
"53","78 BEDOK NTH RD"
"54","524 BEDOK NTH ST 3"
"55","142 BEDOK RESERVOIR RD"
"56","724 BEDOK RESERVOIR RD"
"57","106 BEDOK RESERVOIR RD"
"58","35 BEDOK STH AVE 2"
"59","61 CHAI CHEE RD"
"60","808C CHAI CHEE RD"
"61","52 CHAI CHEE ST"
"62","655 JLN TENAGA"
"63","53 NEW UPP CHANGI RD"
"64","414 BEDOK NTH AVE 2"
"65","139 BEDOK NTH AVE 3"
"66","112 BEDOK NTH RD"
"67","118 BEDOK NTH ST 2"
"68","101 BEDOK RESERVOIR RD"
"69","722 BEDOK RESERVOIR RD"
"70","761 BEDOK RESERVOIR VIEW"
"71","34 CHAI CHEE AVE"
"72","670 JLN DAMAI"
"73","109 LENGKONG TIGA"
"74","60 NEW UPP CHANGI RD"
"75","130 BEDOK RESERVOIR RD"
"76","725 BEDOK RESERVOIR RD"
"77","636 BEDOK RESERVOIR RD"
"78","10E BEDOK STH AVE 2"
"79","148 BISHAN ST 11"
"80","113 BISHAN ST 12"
"81","122 BISHAN ST 12"
"82","114 BISHAN ST 12"
"83","184 BISHAN ST 13"
"84","153 BISHAN ST 13"
"85","181 BISHAN ST 13"
"86","241 BISHAN ST 22"
"87","204 BISHAN ST 23"
"88","287 BISHAN ST 24"
"89","273A BISHAN ST 24"
"90","449 SIN MING AVE"
"91","135 BISHAN ST 12"
"92","128 BISHAN ST 12"
"93","288 BISHAN ST 24"
"94","187 BISHAN ST 13"
"95","446 BRIGHT HILL DR"
"96","239 BT BATOK EAST AVE 5"
"97","215 BT BATOK ST 21"
"98","305 BT BATOK ST 31"
"99","363 BT BATOK ST 31"
"100","312 BT BATOK ST 32"
"101","504 BT BATOK ST 52"
"102","540 BT BATOK ST 52"
"103","507 BT BATOK ST 52"
"104","408 BT BATOK WEST AVE 4"
"105","168 BT BATOK WEST AVE 8"
"106","235 BT BATOK EAST AVE 5"
"107","160 BT BATOK ST 11"
"108","296B BT BATOK ST 22"
"109","289E BT BATOK ST 25"
"110","308 BT BATOK ST 31"
"111","316 BT BATOK ST 32"
"112","183 BT BATOK WEST AVE 8"
"113","216 BT BATOK ST 21"
"114","203 BT BATOK ST 21"
"115","288A BT BATOK ST 25"
"116","288B BT BATOK ST 25"
"117","325 BT BATOK ST 33"
"118","419 BT BATOK WEST AVE 2"
"119","392 BT BATOK WEST AVE 5"
"120","115 BT BATOK WEST AVE 6"
"121","194A BT BATOK WEST AVE 6"
"122","121 BT BATOK CTRL"
"123","218 BT BATOK ST 21"
"124","366 BT BATOK ST 31"
"125","405 BT BATOK WEST AVE 7"
"126","7 TELOK BLANGAH CRES"
"127","48 MOH GUAN TER"
"128","40 BEO CRES"
"129","105A DEPOT RD"
"130","4 JLN BT HO SWEE"
"131","28 JLN BT MERAH"
"132","42 KIM CHENG ST"
"133","130 KIM TIAN RD"
"134","27 LIM LIAK ST"
"135","16 TAMAN HO SWEE"
"136","1 TELOK BLANGAH CRES"
"137","44 TELOK BLANGAH DR"
"138","32 TELOK BLANGAH RISE"
"139","33 TELOK BLANGAH WAY"
"140","8B BOON TIONG RD"
"141","110A DEPOT RD"
"142","53 HAVELOCK RD"
"143","55 HAVELOCK RD"
"144","118A JLN MEMBINA"
"145","131B KIM TIAN RD"
"146","73A REDHILL RD"
"147","14A TELOK BLANGAH CRES"
"148","51 TELOK BLANGAH DR"
"149","70A TELOK BLANGAH HTS"
"150","56 TELOK BLANGAH HTS"
"151","63 TELOK BLANGAH HTS"
"152","70C TELOK BLANGAH HTS"
"153","86 TELOK BLANGAH HTS"
"154","34 TELOK BLANGAH WAY"
"155","1 DELTA AVE"
"156","19 JLN MEMBINA"
"157","8 KIM TIAN PL"
"158","119C KIM TIAN RD"
"159","48 LENGKOK BAHRU"
"160","74 TELOK BLANGAH HTS"
"161","205 PETIR RD"
"162","270 BANGKIT RD"
"163","274 BANGKIT RD"
"164","613 BT PANJANG RING RD"
"165","443C FAJAR RD"
"166","436 FAJAR RD"
"167","118 PENDING RD"
"168","128 PENDING RD"
"169","113 PENDING RD"
"170","126 PENDING RD"
"171","120 PENDING RD"
"172","149 PETIR RD"
"173","139 PETIR RD"
"174","208 PETIR RD"
"175","141 PETIR RD"
"176","550A SEGAR RD"
"177","547B SEGAR RD"
"178","546B SEGAR RD"
"179","487 SEGAR RD"
"180","652 SENJA LINK"
"181","636C SENJA RD"
"182","630 SENJA RD"
"183","636B SENJA RD"
"184","615 BT PANJANG RING RD"
"185","154 GANGSA RD"
"186","536 JELAPANG RD"
"187","168 PETIR RD"
"188","167 PETIR RD"
"189","211 PETIR RD"
"190","483 SEGAR RD"
"191","621 SENJA RD"
"192","631 SENJA RD"
"193","276 BANGKIT RD"
"194","422 FAJAR RD"
"195","503 JELAPANG RD"
"196","475 SEGAR RD"
"197","4 QUEEN'S RD"
"198","8 TOH YI DR"
"199","10 JLN KUKOH"
"200","4 SAGO LANE"
"201","9 SELEGIE RD"
"202","335A SMITH ST"
"203","5 TG PAGAR PLAZA"
"204","34 UPP CROSS ST"
"205","663 BUFFALO RD"
"206","1G CANTONMENT RD"
"207","8 TG PAGAR PLAZA"
"208","1F CANTONMENT RD"
"209","809B CHOA CHU KANG AVE 1"
"210","818B CHOA CHU KANG AVE 1"
"211","811B CHOA CHU KANG AVE 7"
"212","811A CHOA CHU KANG AVE 7"
"213","803B KEAT HONG CL"
"214","10 TECK WHYE AVE"
"215","26 TECK WHYE LANE"
"216","16 TECK WHYE LANE"
"217","818C CHOA CHU KANG AVE 1"
"218","297B CHOA CHU KANG AVE 2"
"219","283 CHOA CHU KANG AVE 3"
"220","450 CHOA CHU KANG AVE 4"
"221","415 CHOA CHU KANG AVE 4"
"222","306 CHOA CHU KANG AVE 4"
"223","484A CHOA CHU KANG AVE 5"
"224","490C CHOA CHU KANG AVE 5"
"225","483 CHOA CHU KANG AVE 5"
"226","810B CHOA CHU KANG AVE 7"
"227","810A CHOA CHU KANG AVE 7"
"228","815C CHOA CHU KANG AVE 7"
"229","667 CHOA CHU KANG CRES"
"230","687B CHOA CHU KANG DR"
"231","766 CHOA CHU KANG NTH 5"
"232","516 CHOA CHU KANG ST 51"
"233","643 CHOA CHU KANG ST 64"
"234","640 CHOA CHU KANG ST 64"
"235","157 JLN TECK WHYE"
"236","801C KEAT HONG CL"
"237","808B CHOA CHU KANG AVE 1"
"238","254 CHOA CHU KANG AVE 2"
"239","297C CHOA CHU KANG AVE 2"
"240","484C CHOA CHU KANG AVE 5"
"241","490D CHOA CHU KANG AVE 5"
"242","812B CHOA CHU KANG AVE 7"
"243","815B CHOA CHU KANG AVE 7"
"244","686A CHOA CHU KANG CRES"
"245","686B CHOA CHU KANG CRES"
"246","690A CHOA CHU KANG CRES"
"247","688B CHOA CHU KANG DR"
"248","689B CHOA CHU KANG DR"
"249","763 CHOA CHU KANG NTH 5"
"250","788 CHOA CHU KANG NTH 6"
"251","513 CHOA CHU KANG ST 51"
"252","546 CHOA CHU KANG ST 52"
"253","805C KEAT HONG CL"
"254","801A KEAT HONG CL"
"255","817B KEAT HONG LINK"
"256","681 CHOA CHU KANG CRES"
"257","208 CHOA CHU KANG CTRL"
"258","525 CHOA CHU KANG ST 51"
"259","526 CHOA CHU KANG ST 51"
"260","417 CLEMENTI AVE 1"
"261","364 CLEMENTI AVE 2"
"262","312A CLEMENTI AVE 4"
"263","304 CLEMENTI AVE 4"
"264","346 CLEMENTI AVE 5"
"265","379 CLEMENTI AVE 5"
"266","208B CLEMENTI AVE 6"
"267","612 CLEMENTI WEST ST 1"
"268","607 CLEMENTI WEST ST 1"
"269","714 CLEMENTI WEST ST 2"
"270","421 CLEMENTI AVE 1"
"271","457 CLEMENTI AVE 3"
"272","440C CLEMENTI AVE 3"
"273","312C CLEMENTI AVE 4"
"274","311C CLEMENTI AVE 4"
"275","118 CLEMENTI ST 13"
"276","117 CLEMENTI ST 13"
"277","512 WEST COAST DR"
"278","413 C'WEALTH AVE WEST"
"279","416 CLEMENTI AVE 1"
"280","357 CLEMENTI AVE 2"
"281","605 CLEMENTI WEST ST 1"
"282","201 CLEMENTI AVE 6"
"283","116 CLEMENTI ST 13"
"284","43 CIRCUIT RD"
"285","111 ALJUNIED CRES"
"286","97 ALJUNIED CRES"
"287","49 CIRCUIT RD"
"288","69 CIRCUIT RD"
"289","31 EUNOS CRES"
"290","19 EUNOS CRES"
"291","126 GEYLANG EAST AVE 1"
"292","3 HAIG RD"
"293","93 JLN DUA"
"294","99 OLD AIRPORT RD"
"295","93 PAYA LEBAR WAY"
"296","18B CIRCUIT RD"
"297","9 EUNOS CRES"
"298","10 EUNOS CRES"
"299","36 EUNOS CRES"
"300","32 EUNOS CRES"
"301","415 EUNOS RD 5"
"302","121 PAYA LEBAR WAY"
"303","341 UBI AVE 1"
"304","313 UBI AVE 1"
"305","327 UBI AVE 1"
"306","322 UBI AVE 1"
"307","6 HAIG RD"
"308","133 GEYLANG EAST AVE 1"
"309","112 HOUGANG AVE 1"
"310","317 HOUGANG AVE 7"
"311","677 HOUGANG AVE 8"
"312","629 HOUGANG AVE 8"
"313","678 HOUGANG AVE 8"
"314","660 HOUGANG AVE 8"
"315","244 HOUGANG ST 22"
"316","475B UPP SERANGOON CRES"
"317","364B UPP SERANGOON RD"
"318","102 HOUGANG AVE 1"
"319","420 HOUGANG AVE 10"
"320","513 HOUGANG AVE 10"
"321","512 HOUGANG AVE 10"
"322","706 HOUGANG AVE 2"
"323","18 HOUGANG AVE 3"
"324","603 HOUGANG AVE 4"
"325","605 HOUGANG AVE 4"
"326","314 HOUGANG AVE 5"
"327","525 HOUGANG AVE 6"
"328","440 HOUGANG AVE 8"
"329","674 HOUGANG AVE 8"
"330","435 HOUGANG AVE 8"
"331","504 HOUGANG AVE 8"
"332","675 HOUGANG AVE 8"
"333","964 HOUGANG AVE 9"
"334","968 HOUGANG AVE 9"
"335","830 HOUGANG CTRL"
"336","158 HOUGANG ST 11"
"337","161 HOUGANG ST 11"
"338","376A HOUGANG ST 32"
"339","557 HOUGANG ST 51"
"340","697 HOUGANG ST 61"
"341","976 HOUGANG ST 91"
"342","942 HOUGANG ST 92"
"343","139 LOR AH SOO"
"344","129 LOR AH SOO"
"345","475A UPP SERANGOON CRES"
"346","470C UPP SERANGOON CRES"
"347","473D UPP SERANGOON CRES"
"348","473C UPP SERANGOON CRES"
"349","365B UPP SERANGOON RD"
"350","365C UPP SERANGOON RD"
"351","954 HOUGANG AVE 9"
"352","838 HOUGANG CTRL"
"353","245 HOUGANG ST 22"
"354","372 HOUGANG ST 31"
"355","140 LOR AH SOO"
"356","712 HOUGANG AVE 2"
"357","705 HOUGANG AVE 2"
"358","609 HOUGANG AVE 8"
"359","853 HOUGANG CTRL"
"360","306 JURONG EAST ST 32"
"361","57 TEBAN GDNS RD"
"362","20 TEBAN GDNS RD"
"363","55 TEBAN GDNS RD"
"364","33 TEBAN GDNS RD"
"365","308 JURONG EAST ST 32"
"366","60 TEBAN GDNS RD"
"367","56 TEBAN GDNS RD"
"368","22 TEBAN GDNS RD"
"369","282 TOH GUAN RD"
"370","226 JURONG EAST ST 21"
"371","320 JURONG EAST ST 31"
"372","305 JURONG EAST ST 32"
"373","335 JURONG EAST AVE 1"
"374","325 JURONG EAST ST 31"
"375","50 TEBAN GDNS RD"
"376","187 BOON LAY AVE"
"377","185 BOON LAY AVE"
"378","211 BOON LAY PL"
"379","208 BOON LAY PL"
"380","484 JURONG WEST AVE 1"
"381","697B JURONG WEST CTRL 3"
"382","480 JURONG WEST ST 41"
"383","520 JURONG WEST ST 52"
"384","218B BOON LAY AVE"
"385","273C JURONG WEST AVE 3"
"386","685C JURONG WEST CTRL 1"
"387","695 JURONG WEST CTRL 1"
"388","272A JURONG WEST ST 24"
"389","464 JURONG WEST ST 41"
"390","450 JURONG WEST ST 42"
"391","420 JURONG WEST ST 42"
"392","515 JURONG WEST ST 52"
"393","668A JURONG WEST ST 64"
"394","718 JURONG WEST ST 71"
"395","717 JURONG WEST ST 71"
"396","820 JURONG WEST ST 81"
"397","348 KANG CHING RD"
"398","352 KANG CHING RD"
"399","138C YUAN CHING RD"
"400","175B YUNG KUANG RD"
"401","218C BOON LAY AVE"
"402","196B BOON LAY DR"
"403","272C JURONG WEST ST 24"
"404","416 JURONG WEST ST 42"
"405","551 JURONG WEST ST 42"
"406","650B JURONG WEST ST 61"
"407","653A JURONG WEST ST 61"
"408","661C JURONG WEST ST 64"
"409","678C JURONG WEST ST 64"
"410","759 JURONG WEST ST 74"
"411","825 JURONG WEST ST 81"
"412","933 JURONG WEST ST 91"
"413","909 JURONG WEST ST 91"
"414","138B YUAN CHING RD"
"415","626 JURONG WEST ST 65"
"416","830 JURONG WEST ST 81"
"417","841 JURONG WEST ST 81"
"418","906 JURONG WEST ST 91"
"419","163 YUNG PING RD"
"420","8 JLN BATU"
"421","805 KING GEORGE'S AVE"
"422","45 BENDEMEER RD"
"423","10C BENDEMEER RD"
"424","10A BENDEMEER RD"
"425","26 BENDEMEER RD"
"426","28 JLN BAHAGIA"
"427","116B JLN TENTERAM"
"428","804 KING GEORGE'S AVE"
"429","123 MCNAIR RD"
"430","468 NTH BRIDGE RD"
"431","685 RACE COURSE RD"
"432","3 ST. GEORGE'S RD"
"433","2 ST. GEORGE'S RD"
"434","86 WHAMPOA DR"
"435","93 WHAMPOA DR"
"436","82 WHAMPOA DR"
"437","38C BENDEMEER RD"
"438","9 BOON KENG RD"
"439","813 JELLICOE RD"
"440","30 JLN BAHAGIA"
"441","101 JLN RAJAH"
"442","117B JLN TENTERAM"
"443","116A JLN TENTERAM"
"444","17 JLN TENTERAM"
"445","117A JLN TENTERAM"
"446","52 KENT RD"
"447","113B MCNAIR RD"
"448","113D MCNAIR RD"
"449","113C MCNAIR RD"
"450","113A MCNAIR RD"
"451","681 RACE COURSE RD"
"452","101 WHAMPOA DR"
"453","49 WHAMPOA STH"
"454","103 AH HOOD RD"
"455","11 JLN BATU"
"456","104 JLN RAJAH"
"457","54 KENT RD"
"458","108C MCNAIR RD"
"459","33 MARINE CRES"
"460","7 MARINE TER"
"461","57 MARINE TER"
"462","62 MARINE DR"
"463","63 MARINE DR"
"464","29 MARINE CRES"
"465","44 MARINE CRES"
"466","27 MARINE CRES"
"467","530D PASIR RIS DR 1"
"468","530C PASIR RIS DR 1"
"469","480 PASIR RIS DR 4"
"470","554 PASIR RIS ST 51"
"471","560 PASIR RIS ST 51"
"472","525C PASIR RIS ST 51"
"473","518 PASIR RIS ST 52"
"474","774 PASIR RIS ST 71"
"475","707 PASIR RIS DR 10"
"476","233 PASIR RIS DR 4"
"477","191 PASIR RIS ST 12"
"478","565 PASIR RIS ST 51"
"479","567 PASIR RIS ST 51"
"480","512 PASIR RIS ST 52"
"481","762 PASIR RIS ST 71"
"482","740 PASIR RIS ST 71"
"483","764 PASIR RIS ST 71"
"484","725 PASIR RIS ST 72"
"485","609 ELIAS RD"
"486","531 PASIR RIS DR 1"
"487","270 PASIR RIS ST 21"
"488","236 PASIR RIS ST 21"
"489","268 PASIR RIS ST 21"
"490","207 PASIR RIS ST 21"
"491","500 PASIR RIS ST 52"
"492","710 PASIR RIS ST 72"
"493","714 PASIR RIS ST 72"
"494","672B EDGEFIELD PLAINS"
"495","209C PUNGGOL PL"
"496","120A EDGEDALE PLAINS"
"497","662B EDGEDALE PLAINS"
"498","623B PUNGGOL CTRL"
"499","208B PUNGGOL PL"
"500","208C PUNGGOL PL"
"501","603C PUNGGOL RD"
"502","312A SUMANG LINK"
"503","661A EDGEDALE PLAINS"
"504","662A EDGEDALE PLAINS"
"505","176C EDGEFIELD PLAINS"
"506","614B EDGEFIELD PLAINS"
"507","670B EDGEFIELD PLAINS"
"508","671A EDGEFIELD PLAINS"
"509","105C EDGEFIELD PLAINS"
"510","673C EDGEFIELD PLAINS"
"511","107B EDGEFIELD PLAINS"
"512","622B PUNGGOL CTRL"
"513","601B PUNGGOL CTRL"
"514","166A PUNGGOL CTRL"
"515","679A PUNGGOL DR"
"516","619A PUNGGOL DR"
"517","613D PUNGGOL DR"
"518","678A PUNGGOL DR"
"519","305D PUNGGOL DR"
"520","636B PUNGGOL DR"
"521","612C PUNGGOL DR"
"522","677B PUNGGOL DR"
"523","642D PUNGGOL DR"
"524","632A PUNGGOL DR"
"525","267B PUNGGOL FIELD"
"526","168D PUNGGOL FIELD"
"527","170B PUNGGOL FIELD"
"528","203B PUNGGOL FIELD"
"529","268B PUNGGOL FIELD"
"530","268A PUNGGOL FIELD"
"531","302D PUNGGOL PL"
"532","209A PUNGGOL PL"
"533","288C PUNGGOL PL"
"534","274B PUNGGOL PL"
"535","604A PUNGGOL RD"
"536","195E PUNGGOL RD"
"537","195A PUNGGOL RD"
"538","272B PUNGGOL WALK"
"539","316C PUNGGOL WAY"
"540","261C PUNGGOL WAY"
"541","227A SUMANG LANE"
"542","256D SUMANG WALK"
"543","256C SUMANG WALK"
"544","133 EDGEDALE PLAINS"
"545","661C EDGEDALE PLAINS"
"546","105A EDGEFIELD PLAINS"
"547","176A EDGEFIELD PLAINS"
"548","669B EDGEFIELD PLAINS"
"549","160B PUNGGOL CTRL"
"550","667B PUNGGOL DR"
"551","641A PUNGGOL DR"
"552","678C PUNGGOL DR"
"553","196D PUNGGOL FIELD"
"554","201D PUNGGOL FIELD"
"555","308A PUNGGOL WALK"
"556","310B PUNGGOL WALK"
"557","310A PUNGGOL WALK"
"558","217B SUMANG WALK"
"559","217A SUMANG WALK"
"560","112 EDGEFIELD PLAINS"
"561","187 PUNGGOL CTRL"
"562","81 C'WEALTH CL"
"563","52 C'WEALTH DR"
"564","53 C'WEALTH DR"
"565","91 C'WEALTH DR"
"566","93 C'WEALTH DR"
"567","87 DAWSON RD"
"568","13 HOLLAND DR"
"569","18A HOLLAND DR"
"570","11 HOLLAND DR"
"571","158 MEI LING ST"
"572","169 STIRLING RD"
"573","88 DAWSON RD"
"574","89 DAWSON RD"
"575","28A DOVER CRES"
"576","28D DOVER CRES"
"577","8 HOLLAND AVE"
"578","181 STIRLING RD"
"579","59 STRATHMORE AVE"
"580","49 STRATHMORE AVE"
"581","52 STRATHMORE AVE"
"582","62B STRATHMORE AVE"
"583","133 CLARENCE LANE"
"584","92 DAWSON RD"
"585","62A STRATHMORE AVE"
"586","48 STRATHMORE AVE"
"587","81 STRATHMORE AVE"
"588","467A ADMIRALTY DR"
"589","487 ADMIRALTY LINK"
"590","120D CANBERRA CRES"
"591","121D CANBERRA ST"
"592","121A CANBERRA ST"
"593","121C CANBERRA ST"
"594","321 SEMBAWANG CL"
"595","470 SEMBAWANG DR"
"596","466C SEMBAWANG DR"
"597","463B SEMBAWANG DR"
"598","508A WELLINGTON CIRCLE"
"599","357A ADMIRALTY DR"
"600","492 ADMIRALTY LINK"
"601","119A CANBERRA CRES"
"602","420 CANBERRA RD"
"603","121B CANBERRA ST"
"604","504D MONTREAL DR"
"605","319 SEMBAWANG CL"
"606","413 SEMBAWANG DR"
"607","409 SEMBAWANG DR"
"608","510B WELLINGTON CIRCLE"
"609","357C ADMIRALTY DR"
"610","469A ADMIRALTY DR"
"611","468A ADMIRALTY DR"
"612","333 SEMBAWANG CL"
"613","334C ANCHORVALE CRES"
"614","286C COMPASSVALE CRES"
"615","211D COMPASSVALE LANE"
"616","418A FERNVALE LINK"
"617","445A FERNVALE RD"
"618","436C FERNVALE RD"
"619","453D FERNVALE RD"
"620","180A RIVERVALE CRES"
"621","304A ANCHORVALE LINK"
"622","332C ANCHORVALE LINK"
"623","303B ANCHORVALE LINK"
"624","309B ANCHORVALE RD"
"625","317D ANCHORVALE RD"
"626","329A ANCHORVALE ST"
"627","287C COMPASSVALE CRES"
"628","286A COMPASSVALE CRES"
"629","289A COMPASSVALE CRES"
"630","204B COMPASSVALE DR"
"631","212A COMPASSVALE DR"
"632","211C COMPASSVALE LANE"
"633","211B COMPASSVALE LANE"
"634","207B COMPASSVALE LANE"
"635","277C COMPASSVALE LINK"
"636","257B COMPASSVALE RD"
"637","298B COMPASSVALE ST"
"638","403A FERNVALE LANE"
"639","405C FERNVALE LANE"
"640","470A FERNVALE LINK"
"641","467B FERNVALE LINK"
"642","440A FERNVALE LINK"
"643","416B FERNVALE LINK"
"644","414A FERNVALE LINK"
"645","408C FERNVALE RD"
"646","410C FERNVALE RD"
"647","453B FERNVALE RD"
"648","443B FERNVALE RD"
"649","471C FERNVALE ST"
"650","184C RIVERVALE CRES"
"651","162A RIVERVALE CRES"
"652","185D RIVERVALE CRES"
"653","185C RIVERVALE CRES"
"654","162B RIVERVALE CRES"
"655","121A RIVERVALE DR"
"656","124B RIVERVALE DR"
"657","271C SENGKANG CTRL"
"658","279B SENGKANG EAST AVE"
"659","200A SENGKANG EAST RD"
"660","325A SENGKANG EAST WAY"
"661","260D SENGKANG EAST WAY"
"662","315C ANCHORVALE RD"
"663","212B COMPASSVALE DR"
"664","206A COMPASSVALE LANE"
"665","206C COMPASSVALE LANE"
"666","246 COMPASSVALE RD"
"667","257A COMPASSVALE RD"
"668","262A COMPASSVALE ST"
"669","468C FERNVALE LINK"
"670","415C FERNVALE LINK"
"671","408A FERNVALE RD"
"672","155 RIVERVALE CRES"
"673","183C RIVERVALE CRES"
"674","116C RIVERVALE DR"
"675","186B RIVERVALE DR"
"676","133 RIVERVALE ST"
"677","125 RIVERVALE ST"
"678","141 RIVERVALE ST"
"679","109 RIVERVALE WALK"
"680","261A SENGKANG EAST WAY"
"681","469B SENGKANG WEST WAY"
"682","433B SENGKANG WEST WAY"
"683","307B ANCHORVALE RD"
"684","299C COMPASSVALE ST"
"685","143 RIVERVALE DR"
"686","189C RIVERVALE DR"
"687","4 LOR LEW LIAN"
"688","223 SERANGOON AVE 4"
"689","209 SERANGOON CTRL"
"690","402 SERANGOON AVE 1"
"691","241 SERANGOON AVE 3"
"692","507 SERANGOON NTH AVE 4"
"693","426 SERANGOON AVE 1"
"694","216 SERANGOON AVE 4"
"695","114 SERANGOON NTH AVE 1"
"696","550 SERANGOON NTH AVE 3"
"697","317 SERANGOON AVE 2"
"698","321 SERANGOON AVE 2"
"699","879B TAMPINES AVE 8"
"700","868C TAMPINES AVE 8"
"701","878A TAMPINES AVE 8"
"702","271 TAMPINES ST 21"
"703","258 TAMPINES ST 21"
"704","272 TAMPINES ST 22"
"705","293 TAMPINES ST 22"
"706","213 TAMPINES ST 23"
"707","438 TAMPINES ST 43"
"708","468 TAMPINES ST 44"
"709","462 TAMPINES ST 44"
"710","847 TAMPINES ST 83"
"711","119 SIMEI ST 1"
"712","141 SIMEI ST 2"
"713","890B TAMPINES AVE 1"
"714","812 TAMPINES AVE 4"
"715","395 TAMPINES AVE 7"
"716","878B TAMPINES AVE 8"
