"min_sample_leaf","validation","test"
1,0.03994264599592602,0.06934976109187459
11,0.04272246426845243,0.0705356851573198
21,0.0461667323562391,0.0744441891272177
31,0.04892726147207731,0.07787141450005955
41,0.05168476382130162,0.08027405843613515
51,0.054026500750562624,0.08228585667852126
61,0.05617320618289138,0.08437519945931908
71,0.05801627151905486,0.08599085038423343
81,0.05958423202964129,0.0868125355997392
91,0.06100483911056822,0.08852616673514442
101,0.06239054681716888,0.09098507117679921